z,a,symbol,ordering,"energy [keV]",halflife,spin,"magnetic dipole [nm]","electric quadrupole [b]",reference_standard,method,description,citation_01,doi_01,citation_02,doi_02,citation_03,doi_03,citation_04,doi_04,citation_05,doi_05
1,2,H,20,,,,"+0.857438240(12) ",,[1H],NMR,"Nuclear Magnetic Resonance",2005KA25,10.1139/P05-007,,,,,,,,
1,2,H,50,,,,,0.0028(2),,CIAN,"Coulomb Interaction of Aligned Nuclei",1985KA05,10.1016/0375-9474(85)90475-0,,,,,,,,
3,6,Li,10,0,stable,1+,+0.8220473(6),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1974BE50,10.1007/BF01680407,,,,,,,,
3,6,Li,20,,,,+0.822567(3),,[2H],NMR,"Nuclear Magnetic Resonance",1968LU07,,1967LU06,"10.1016/0375-9601(67)90068-0 ",,,,,,
3,6,Li,40,,,,,-0.000806(6),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2005BO45,10.1103/PhysRevC.72.044309,,,,,,,,
3,7,Li,10,0,stable,3/2-,+3.256427(2),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1974BE50,10.1007/BF01680407,,,,,,,,
3,7,Li,20,,,,+3.2564625(4),,[2H],NMR,"Nuclear Magnetic Resonance",1967LU06,10.1016/0375-9601(67)90068-0,,,,,,,,
3,7,Li,70,,,,,-0.0370(8),,CIAN,"Coulomb Interaction of Aligned Nuclei",1985WE08,10.1103/PhysRevLett.55.480,,,,,,,,
3,7,Li,100,,,,,-0.040(11),,CER,"Coulomb excitation reorientation",1984VE03,10.1016/0370-2693(84)91918-X,1984VE08,"10.1071/PH840273 ",,,,,,
3,7,Li,110,,,,,-0.0400(6),,CER,"Coulomb excitation reorientation",1991VO06,10.1016/0375-9474(91)90814-M,,,,,,,,
3,7,Li,120,,,,,-0.0400(3),,CER,"Coulomb excitation reorientation",1991VO06,10.1016/0375-9474(91)90814-M,,,,,,,,
3,7,Li,30,,,,,-0.0403(4),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2011AV08,"10.3938/jkps.59.903 ",,,,,,,,
3,7,Li,40,,,,,-0.0400(3),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2008PY02,"10.1080/00268970802018367 ",,,,,,,,
3,7,Li,90,,,,,-0.059(8),,OL,"Optical Level Crossing",1978NA22,10.1103/PhysRevA.17.1394,,,,,,,,
3,7,Li,130,,,,,-0.0406(8),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1989BA80,10.1071/PH890597,,,,,,,,
3,8,Li,10,0,"839.9 ms",2+,+1.65356(2),,[1H],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1978WI13,10.1016/0375-9601(78)90353-5,1962CO08,10.1103/PhysRev.126.1506,,,,,,
3,8,Li,20,,,,,0.0326(5),[7Li],b-NQR,"Nuclear Quadrupole Resonance with beta detection",2011VO08,10.1088/0954-3899/38/7/75102,,,,,,,,
3,8,Li,30,,,,,0.0314(2),,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,8,Li,40,,,,,"sign positive","[6,7Li]",NMR,"Nuclear Magnetic Resonance",1994JA05,10.1016/0375-9474(94)90393-X,,,,,,,,
3,8,Li,50,,,,,0.0327(6),[7Li],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1992MI18,10.1103/PhysRevLett.69.2058,,,,,,,,
3,8,Li,60,,,,,0.0287(7),[7Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1988AR17,10.1007/BF01355599,,,,,,,,
3,8,Li,70,,,,,0.0317(4),[7Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1977DU06,10.1007/BF01414890,,,,,,,,
3,9,Li,10,0,"178.3 ms",3/2-,3.43678(6),,[8Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,9,Li,20,,,,3.434(5),,[8Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1988AR17,10.1007/BF01355599,,,,,,,,
3,9,Li,30,,,,3.4391(6),,[1H],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1983CO11,10.1103/PhysRevC.28.862,,,,,,,,
3,9,Li,40,,,,,-0.0304(2),[7Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2011AV08,"10.3938/jkps.59.903 ",2008PY02,"10.1080/00268970802018367 ",,,,,,
3,9,Li,50,,,,,(-)0.0306(2),,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,9,Li,60,,,,,0.0253(9),[7Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1988AR17,10.1007/BF01355599,,,,,,,,
3,9,Li,70,,,,,"0.036(7) st",[7Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1983CO11,10.1103/PhysRevC.28.862,,,,,,,,
3,11,Li,10,0,"8.75 ms",3/2-,+3.6712(3),,[9Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008NE11,"10.1103/PhysRevLett.101.132502 ",,,,,,,,
3,11,Li,20,,,,3.668(3),,[8Li],CFBLS/b-NMR,"b-NMR Collinear Fast Beam Laser Spectroscopy: NMR with beta detection",1987AR22,10.1016/0370-2693(87)90390-X,,,,,,,,
3,11,Li,30,,,,,(-)0.0333(5),[9Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2008NE11,"10.1103/PhysRevLett.101.132502 ",,,,,,,,
3,11,Li,40,,,,,-0.035(5),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",2005BO45,"10.1103/PhysRevC.72.044309 ",,,,,,,,
3,11,Li,50,,,,,-0.031(5),[7Li],OP/b-NMR,"Optical Pumping with NMR using beta detection",1992MA12,10.1016/0370-2693(92)90765-V,,,,,,,,
4,7,Be,20,,,,-1.398(15),,[9Be],LRIS,"Laser Resonance Ionization",1998KAZN,10.1063/1.57392,,,,,,,,
4,9,Be,10,0,stable,3/2-,"-1.177432(3) d",,,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1983IT03,10.1103/PhysRevB.27.1906,,,,,,,,
4,9,Be,30,,,,-1.17749(2),,[1H],NMR,"Nuclear Magnetic Resonance",1949DI25,10.1103/PhysRev.75.1769,1951AL11,"10.1103/PhysRev.82.105 ",,,,,,
4,9,Be,40,,,,,+0.0529(4),,R,"Re-evaluated by N.J. Stone (2013StZZ) usually because of change in reference standard",1991SU05,10.1016/0009-2614(91)90181-8,,,,,,,,
4,9,Be,50,,,,,"+0.053(3) st",,AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1967BL09,10.1103/PhysRev.153.164,,,,,,,,
4,10,Be,10,3368,"0.14 ps",2+,,-0.08(7),,CER,"Coulomb excitation reorientation",2012OR05,"10.1103/PhysRevC.86.041303 ",,,,,,,,
4,11,Be,10,0,"13. 8 s",3/2-,-1.6816(8),,[8Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999GE18,10.1103/PhysRevLett.83.3792,,,,,,,,
4,11,Be,20,,,,-1.6814(13),,[8Li],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1998KAZN,10.1063/1.57392,,,,,,,,
5,8,B,10,0,"0.77 s",2+,1.0355(3),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1973MI01,10.1103/PhysRevC.7.1003,,,,,,,,
5,8,B,20,,,,"1.03579(5) d, K",,[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996OHZY,,,,,,,,,
5,8,B,30,,,,,+0.0643(14),[11B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2006SU13,10.1103/PhysRevC.74.024327,,,,,,,,
5,8,B,40,,,,,+0.0645(14),[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004NA46,"10.1007/s10751-005-9109-0 ",2006SU13,"10.1103/PhysRevC.74.024327 ",,,,,,
5,8,B,50,,,,,0.063(5),[11B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1990MAZA,,,,,,,,,
5,8,B,60,,,,,0.068(2),[12B],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1992MI18,10.1103/PhysRevLett.69.2058,,,,,,,,
5,8,B,70,,,,,0.0646(15),[12B],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1996OHZY,,,,,,,,,
5,10,B,20,,,,,+0.0845(2),[11B],AB,"Atomic Beam Magnetic Resonance - Thermal Beam","2008PY02 ",10.1080/00268970802018367,1970NE21,10.1103/PhysRevA.2.1208,,,,,,
5,10,B,40,718,"0.69 ns",1+,+0.63(12),,,IPAC,"Integral Perturbed Angular Correlation",1972AV01,10.1016/0375-9474(72)90283-7,,,,,,,,
5,11,B,20,,,,,+0.04059(10),,AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008PY02,"10.1080/00268970802018367 ",1970NE21,"10.1103/PhysRevA.2.1208 ",,,,,,
5,12,B,10,0,"20.20 ms",1+,+1.00(2),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010ZH03,10.1088/0256-307X/27/2/22102,,,,,,,,
5,12,B,20,,,,+1.00272(11),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1990MI16,10.1016/0375-9474(90)90314-C,,,,,,,,
5,12,B,30,,,,+1.00306(+15/-14),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1970WI17,10.1103/PhysRevC.2.1219,,,,,,,,
5,12,B,50,,,,1.000(3),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2003ZH32,10.1088/0256-307X/20/10/313,,,,,,,,
5,12,B,60,,,,,0.0132(3),[11B],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1993OH05,10.1007/BF00568137,,,,,,,,
5,12,B,70,,,,,"0.0134(14) st",[11B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1978MI19,10.1007/BF01021830,,,,,,,,
5,13,B,10,0,"17.3 ms",3/2-,"+3.1778(5) K,d",,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004NA38,10.1016/j.nuclphysa.2004.09.079,,,,,,,,
5,13,B,20,,,,+3.1778(5),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1971WI09,10.1103/PhysRevC.3.2149,,,,,,,,
5,13,B,30,,,,,(+)0.0365(8),[11B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004NA38,10.1016/j.nuclphysa.2004.09.079,,,,,,,,
5,13,B,40,,,,,"positive sign",[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004NA47,10.1007/s10751-005-9110-7,,,,,,,,
5,13,B,50,,,,,"(+) 0.0366(8)",[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004NA38,"10.1016/j.nuclphysa.2004.09.079 ",,,,,,,,
5,13,B,60,,,,,0.369(10),[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2003OG03,10.1103/PhysRevC.67.064308,,,,,,,,
5,14,B,10,0,"12.5 ms",2-,1.185(5),,[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995OK04,10.1016/0370-2693(95)00630-4,,,,,,,,
5,14,B,20,,,,,0.0297(8),[11B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996IZ01,10.1016/0370-2693(95)01312-1,,,,,,,,
5,14,B,30,,,,,0.0298(8),[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996IZ01,10.1016/0370-2693(95)01312-1,,,,,,,,
5,15,B,10,0,"9.93 ms",3/2-,2.659(15),,[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995OK04,10.1016/0370-2693(95)00630-4,,,,,,,,
5,15,B,20,,,,,0.0379(11),[11B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996IZ01,10.1016/0370-2693(95)01312-1,,,,,,,,
5,15,B,30,,,,,0.0380(11),[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996IZ01,10.1016/0370-2693(95)01312-1,,,,,,,,
5,17,B,10,0,"5.08 ms",(3/2-),2.55(2),,[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996UE02,10.1103/PhysRevC.53.2142,,,,,,,,
5,17,B,20,,,,,0.0385(15),[11B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2003OG03,10.1103/PhysRevC.67.064308,,,,,,,,
5,17,B,30,,,,,0.0386(15),,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2003OG03,10.1103/PhysRevC.67.064308,,,,,,,,
6,9,C,10,0,"126.5 ms",3/2-,1.3914(5),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1995MA48,10.1016/0375-9474(95)00115-H,,,,,,,,
6,9,C,20,,,,1.396(3),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1998HU08,10.1103/PhysRevC.57.R2790,,,,,,,,
6,11,C,20,,,,,0.0333(2),,AB,"Atomic Beam Magnetic Resonance - Thermal Beam",2008PY02,"10.1080/00268970802018367 ",1969SC34,10.1103/PhysRev.181.137,,,,,,
6,12,C,10,4439,"10.8&times;10<sup>-3</sup> eV",2+,,+0.06(3),,CER,"Coulomb excitation reorientation",1983VE01,10.1016/0370-2693(83)91160-7,,,,,,,,
6,13,C,10,,,,+0.7024118(14),,[1H],NMR,"Nuclear Magnetic Resonance",1954RO34,10.1103/PhysRev.96.543,,,,,,,,
6,13,C,20,3854,"8.5 ps",5/2+,1.40(4),,,RIV/D,"Recoil into Vacuum / Differential method",1981RU04,10.1016/0375-9474(81)90248-7,,,,,,,,
6,14,C,10,6728,"67 ps",3-,0.82(2),,,RIV/D,"Recoil into Vacuum / Differential method",1974AL07,10.1103/PhysRevC.9.1748,,,,,,,,
6,15,C,10,0,"2.45 s",1/2+,1.720(9),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2002AS06,10.1016/S0375-9474(02)00769-8,,,,,,,,
6,15,C,20,,,,1.32(7),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1988ASZY,,,,,,,,,
6,15,C,30,740,"2.61 ns",5/2+,1.76(3),,,RIV/D,"Recoil into Vacuum / Differential method",1980AS01,10.1088/0305-4616/6/2/015,,,,,,,,
6,15,C,40,,,,-1.92(15),,,IPAC,"Integral Perturbed Angular Correlation",1975HA42,10.1016/0370-2693(75)90148-3,,,,,,,,
6,17,C,10,0,"193 ms",(3/2+),0.758(4),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2002OG02,10.1007/s10050-002-8723-3,,,,,,,,
7,12,N,10,0,"11.0 ms",1+,0.4571(1),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010ZH03,10.1088/0256-307X/27/2/22102,,,,,,,,
7,12,N,20,,,,0.4573(5),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1968SU05,10.1143/JPSJ.25.1258,,,,,,,,
7,12,N,30,,,,,+0.100(9),[14N],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1998MI10,10.1016/S0370-2693(97)01553-0,,,,,,,,
7,12,N,40,,,,,+0.0098(9),[14N],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1998MI10,10.1016/S0370-2693(97)01553-0,,,,,,,,
7,12,N,50,,,,,"+0.049(6) or -0.010(6)",,PhPi,"Pion Photoproduction near threshold",1980RA05,,,,,,,,,
7,12,N,60,,,,,0.0103(7),[14N],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1994OHZY,,,,,,,,,
7,14,N,10,,,,+0.40376100(6),,[1H],NMR,"Nuclear Magnetic Resonance",1976FU06,"10.1063/1.555544 ",1951PR02,10.1103/PhysRev.81.20,,,,,,
7,14,N,20,,,,,+0.02044(3),,LRFS,"Laser Resonance Fluorescence Spectroscopy",2008PY02,"10.1080/00268970802018367 ",1993SC26,10.1103/PhysRevA.47.4891,,,,,,
7,14,N,30,,,,,+0.02001(10),,LRFS,"Laser Resonance Fluorescence Spectroscopy",1993SC26,10.1103/PhysRevA.47.4891,,,,,,,,
7,14,N,40,,,,,"+0.0193(8) st",,IBSQB,"Quantum Beats after Surface Interaction at Grazing Incidence",1980WI22,10.1103/PhysRevA.21.581,,,,,,,,
7,14,N,60,5106,"4.3 ps",2-,1.32(8),,,RIV/D,"Recoil into Vacuum / Differential method",1978MO27,10.1088/0305-4616/4/10/009,,,,,,,,
7,14,N,70,5834,"12.5 ps",3-,2.0(5),,,RIGV,"Recoil into gas or vacuum",1989RA17,"10.1016/0092-640X(89)90008-9 ",,,,,,,,
7,15,N,10,,,,-0.28318884(5),,[14N],NMR,"Nuclear Magnetic Resonance",1962BA63,10.1063/1.1732287,,,,,,,,
7,15,N,20,5270,"1.73 ps",5/2+,2.4(2),,,RIV/D,"Recoil into Vacuum / Differential method",1983BI10,"10.1088/0305-4616/9/11/013 ",,,,,,,,
7,16,N,10,0,"7.13 s",2-,"1.9859(11) d",,[12N],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2001MA42,10.1103/PhysRevLett.86.3735,,,,,,,,
7,16,N,20,,,,,(-)0.018(2),[12N],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2001MA42,10.1103/PhysRevLett.86.3735,,,,,,,,
7,16,N,30,298,"91.3 ps",3-,1.60(6),,,RIV/D,"Recoil into Vacuum / Differential method",1984BI03,10.1016/0375-9474(84)90424-X,,,,,,,,
7,16,N,40,,,,1.50(8),,,RIV/D,"Recoil into Vacuum / Differential method",1989RA17,"10.1016/0092-640X(89)90008-9 ",,,,,,,,
7,16,N,50,397,"4.5 ps",1-,-1.83(13),,,RIV/D,"Recoil into Vacuum / Differential method",1975AS02,10.1088/0305-4616/1/4/005,1975FO16,10.1103/PhysRevC.12.1723,,,,,,
7,17,N,10,0,"4.17 s ",1/2-,0.3551(4),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2009DE34,10.1103/PhysRevC.80.037306,,,,,,,,
7,17,N,20,,,,0.352(2),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996UE02,10.1103/PhysRevC.53.2142,,,,,,,,
7,18,N,10,0,"620 ms",1-,0.3273(4),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2009DE34,10.1103/PhysRevC.80.037306,,,,,,,,
7,18,N,20,,,,(-)0.135(15),,,LMR,"Level Mixing Resonance on Oriented Nuclei",1999NE01,10.1103/PhysRevLett.82.497,,,,,,,,
7,18,N,30,,,,0.3279(13),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999OG03,10.1016/S0370-2693(99)00219-1,,,,,,,,
7,18,N,40,,,,,+0.027(4),,LMR,"Level Mixing Resonance on Oriented Nuclei",1999NE01,10.1103/PhysRevLett.82.497,,,,,,,,
7,18,N,50,,,,,0.0123(12),[12N],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999OG03,10.1016/S0370-2693(99)00219-1,,,,,,,,
7,19,N,10,0,"0.27 s",1/2-,0.305(15),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004KA22,10.1016/j.nuclphysa.2004.01.090,,,,,,,,
8,13,O,10,0,"8.58 ms",3/2-,"1.3891(3) d, K",,[1H],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996MA38,10.1007/BF02150194,,,,,,,,
8,13,O,20,,,,,0.0111(8),[17O],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1999MA46,10.1016/S0370-2693(99)00620-6,,,,,,,,
8,13,O,30,,,,,0.0110(13),[17O],b-NQR,"Nuclear Quadrupole Resonance with beta detection",1999MA46,10.1016/S0370-2693(99)00620-6,,,,,,,,
8,15,O,10,0,"122 s",1/2-,"0.71951(12) c",,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1993TA28,10.1007/BF00568123,,,,,,,,
8,15,O,20,,,,0.7189(8),,[17O],AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1963CO17,10.1103/PhysRev.131.700,,,,,,,,
8,15,O,40,,,,<0.3(2),,,TF,"Transient Field integral perturbed angular correlation",1981DE40,10.1007/BF01020970,,,,,,,,
8,16,O,10,6130,"18.4 ps",3-,+1.668(12),,,RIV/D,"Recoil into Vacuum / Differential method",1984AS03,10.1088/0305-4616/10/8/013,,,,,,,,
8,16,O,20,,,,,,,IMPAC,"Perturbed Angular Correlation after Ion Implantation",1977KA02,10.1016/0375-9474(77)90387-6,,,,,,,,
8,17,O,10,,,,-1.89379(9),,[2H],NMR,"Nuclear Magnetic Resonance",1951AL08,10.1103/PhysRev.81.1067,,,,,,,,
8,18,O,10,1982,"2.07 ps",2+,-0.57(3),,,RIV/D,"Recoil into Vacuum / Differential method",1976AS04,10.1088/0305-4616/2/7/008,,,,,,,,
8,18,O,20,,,,,"negative sign",,IPAD,"Integral Perturbed Angular Distribution",1975FO03,10.1016/0370-2693(75)90186-0,,,,,,,,
8,18,O,50,,,,,"-0.010(13) or +.020(13)",,CER,"Coulomb excitation reorientation",1977VO07,10.1103/PhysRevLett.39.325,,,,,,,,
8,18,O,60,,,,,"-0.07(3) or -0.05(3)",,CER,"Coulomb excitation reorientation",1977FL10,10.1103/PhysRevLett.39.446,,,,,,,,
8,18,O,80,,,,,"-0.05(2) or -0.02(2)",,CER,"Coulomb excitation reorientation",1979FE06,10.1016/0375-9474(79)90138-6,,,,,,,,
8,18,O,90,3555,"18 ps",4+,2.5(4),,"[16O 6130.]",RIGV,"Recoil into gas or vacuum",1974BE63,10.1016/0375-9474(74)90201-2,,,,,,,,
8,19,O,10,0,"27 s",5/2+,"1.53195(7) c",,[17O],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999MI16,10.1016/S0370-2693(99)00468-2,,,,,,,,
8,19,O,20,,,,,0.00362(13),[17O],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999MI16,10.1016/S0370-2693(99)00468-2,,,,,,,,
8,19,O,30,,,,,0.0037(4),[17O],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999MI16,10.1016/S0370-2693(99)00468-2,,,,,,,,
8,19,O,40,96,"1.37 s",3/2+,-0.72(9),,,IPAC,"Integral Perturbed Angular Correlation",1976GO09,10.1016/0375-9474(76)90615-1,,,,,,,,
8,20,O,10,1674,"7.4 ps",2+,0.70(3),,,RIV/D,"Recoil into Vacuum / Differential method",1980RU01,10.1016/0375-9474(80)90679-X,,,,,,,,
8,20,O,20,,,,-0.78(8),,,IMPAC,"Perturbed Angular Correlation after Ion Implantation",1976GE01,10.1016/0370-2693(76)90744-9,1975BE15,10.1016/0375-9474(75)90293-6,,,,,,
9,17,F,10,0,"64.5 s",5/2+,+4.7213(3),,[12B],b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1993MI33,10.1007/BF00568124,,,,,,,,
9,17,F,20,,,,+4.7223(12),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1966SU01,10.1143/JPSJ.21.213,,,,,,,,
9,18,F,10,937,"47 ps",3+,+1.6(2),,,IMPAC,"Perturbed Angular Correlation after Ion Implantation",1981ST21,10.1143/JPSJ.50.2804,,,,,,,,
9,18,F,20,,,,+1.77(12),,,RIV/D,"Recoil into Vacuum / Differential method",1989RA17,"10.1016/0092-640X(89)90008-9 ",,,,,,,,
9,18,F,30,,,,1.7(2),,,RIGV,"Recoil into gas or vacuum",N/A,10.1007/BF01021820,,,,,,,,
9,18,F,40,1121,"162 ns",5+,+2.86(3),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1967SC09,10.1016/0370-2693(67)90270-5,,,,,,,,
9,19,F,10,,,,+2.628868(8),,[1H],NMR,"Nuclear Magnetic Resonance",1952LI18,,1964BA11,10.1103/PhysRev.133.A1533,,,,,,
9,19,F,20,197,"89.3 ns",5/2+,+3.607(8),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1969BI18,10.1016/0029-554X(69)90559-X,,,,,,,,
9,19,F,30,,,,3.595(13),,,RIV/D,"Recoil into Vacuum / Differential method",1984AS03,10.1088/0305-4616/10/8/013,,,,,,,,
9,19,F,50,1346,"2.9 ps",5/2-,0.67(11),,,RIV/D,"Recoil into Vacuum / Differential method",1983BI03,10.1088/0305-4616/9/3/009,,,,,,,,
9,20,F,10,0,"11 s",2+,+2.09335(9),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1996MIZW,,,,,,,,,
9,20,F,20,,,,+2.0935(9),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1967GU14,,1963TS01,10.1103/PhysRev.132.1141,,,,,,
9,21,F,10,0,"4.16 s",5/2+,3.9194(12),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999MB13,10.1023/A:1017036009679,,,,,,,,
9,21,F,20,,,,3.93(5),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1993OK02,10.1007/BF00568122,,,,,,,,
9,21,F,30,,,,,0.11(2),,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1999MB13,10.1023/A:1017036009679,,,,,,,,
9,22,F,10,0,"4.2 s",4+,(+)2.6944(4),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010MI13,10.1016/j.nuclphysa.2010.01.022,,,,,,,,
9,22,F,20,,,,,0.003(2),,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2010MI13,10.1016/j.nuclphysa.2010.01.022,,,,,,,,
10,17,Ne,10,0,"109.2 ms",1/2-,+0.7873(14),,[21Ne],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2005GE06,10.1103/PhysRevC.71.064319,,,,,,,,
10,17,Ne,20,,,,(+)0.74(3),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",2004BA12,10.1088/0954-3899/30/4/11,,,,,,,,
10,19,Ne,10,0,"17.3 s",1/2+,-1.8846(8),,[21Ne],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2005GE06,10.1103/PhysRevC.71.064319,,,,,,,,
10,19,Ne,20,,,,-1.88542(8),,,b-NMR,"NMR of in-beam polarized nuclei with beta asymmetry detection",1982MA39,10.1103/PhysRevC.26.1753,,,,,,,,
10,19,Ne,30,238,"18.0 ns",5/2+,-0.740(8),,"[19F 197]",TDPAD,"Time Dependent Perturbed Angular Distribution",1969BL02,10.1016/0375-9474(69)90890-2,,,,,,,,
10,20,Ne,30,4247,"64 fs",4+,+1.5(3),,"[20Ne 1634]",TF,"Transient Field integral perturbed angular correlation",2003LE01,10.1016/S0370-2693(02)03067-8,,,,,,,,
10,20,Ne,40,,,,+0.5(6),,"[20Ne 1634]",TF,"Transient Field integral perturbed angular correlation",1986TR08,10.1016/0375-9474(86)90284-8,,,,,,,,
10,20,Ne,60,,,,+1.7(14),,"[20Ne 1634]",TF,"Transient Field integral perturbed angular correlation",1984BR15,10.1103/PhysRevC.30.696,,,,,,,,
10,20,Ne,80,,,,-0.4(8),,"[20Ne 1634]",TF,"Transient Field integral perturbed angular correlation",1980SP02,10.1016/0370-2693(80)90266-X,,,,,,,,
