z,a,symbol,ordering,"energy [keV]",halflife,spin,"magnetic dipole [nm]","electric quadrupole [b]",reference_standard,method,description,citation_01,doi_01,citation_02,doi_02,citation_03,doi_03,citation_04,doi_04,citation_05,doi_05
71,167,Lu,30,x,">60 s",1/2(+),-0.0999(13),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,168,Lu,10,0,"5.5 m",6-,+3.02(3),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,168,Lu,20,,,,,+4.77(6),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,168,Lu,30,203,"6.7 m",3+,+1.221(5),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,168,Lu,40,,,,,+2.43(2),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,169,Lu,10,0,"34.1 h",7/2+,2.295(4),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,169,Lu,30,,,,,3.48(3),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,171,Lu,10,0,"8.24 d",7/2+,+2.293(4),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,171,Lu,30,,,,2.03(10),,[177Lu],NO/S,"Static Nuclear Orientation with gamma detection",1976KR04,10.1103/PhysRevC.13.1295,,,,,,,,
71,171,Lu,40,,,,,+3.53(3),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,171,Lu,60,71,"79 s",1/2-,+0.585(7),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,172,Lu,10,0,"6.70 d",4-,+2.900(10),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,172,Lu,30,,,,2.25(10),,[177Lu],NO/S,"Static Nuclear Orientation with gamma detection",1976KR04,10.1103/PhysRevC.13.1295,,,,,,,,
71,172,Lu,40,,,,,+3.80(4),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,172,Lu,60,42,"3.7 m",1-,+1.98(4),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,172,Lu,70,,,,,+0.76(3),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,173,Lu,10,0,"1.37 y",7/2+,+2.281(2),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,173,Lu,30,,,,2.34(9),,[177Lu],NO/S,"Static Nuclear Orientation with gamma detection",1975KR11,10.1103/PhysRevC.12.1999,,,,,,,,
71,173,Lu,40,,,,,+3.53(2),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,174,Lu,10,0,"3.31 y",1-,+1.988(5),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,174,Lu,20,,,,1.9(3),,[173Lu],NO/S,"Static Nuclear Orientation with gamma detection",1975KR11,10.1103/PhysRevC.12.1999,,,,,,,,
71,174,Lu,30,,,,,+0.773(5),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,174,Lu,40,171,"142 d",6-,+1.492(16),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,174,Lu,50,,,,1.497(10),,,NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1991HI19,10.1016/0370-2693(91)91702-W,,,,,,,,
71,174,Lu,60,,,,,+4.80(5),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,175,Lu,10,0,stable,7/2+,+2.2323(11),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1985BR09,10.1016/0375-9474(85)90237-4,,,,,,,,
71,175,Lu,40,,,,,+3.49(2),,Mu-X,"Muonic X-ray Hyperfine Structure",1979DE29,10.1016/0375-9474(79)90401-9,,,,,,,,
71,175,Lu,50,,,,,3.62(9),,Pi-X,"Pionic X-ray Hyperfine Structure",1983OL03,10.1016/0375-9474(83)90623-1,,,,,,,,
71,175,Lu,70,251,"32 ps",11/2+,+2.0(7),,,IPAC,"Integral Perturbed Angular Correlation",1966DE08,10.1016/0031-9163(66)90115-6,,,,,,,,
71,176,Lu,10,0,"3.6&times;10<sup>10</sup> y",7-,+3.162(12),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,176,Lu,20,,,,+3.169(5),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1985BR09,10.1016/0375-9474(85)90237-4,,,,,,,,
71,176,Lu,30,,,,,+4.92(5),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,176,Lu,40,,,,,+4.92(3),[175Lu],AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1985BR09,10.1016/0375-9474(85)90237-4,1962SP03,10.1088/0370-1328/79/4/315,,,,,,
71,176,Lu,50,,,,,+4.97(3),[175Lu],AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1962SP03,10.1088/0370-1328/79/4/315,,,,,,,,
71,176,Lu,60,,,,,"5.07(7) a",,Pi-X,"Pionic X-ray Hyperfine Structure",1983OL03,10.1016/0375-9474(83)90623-1,,,,,,,,
71,176,Lu,70,127,"3.66 h",1-,+0.311(7),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,176,Lu,100,,,,,-1.450(12),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,176,Lu,110,,,,,-1.47(1),[175Lu],AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1965WH03,"10.1103/PhysRev.137.477 ",,,,,,,,
71,177,Lu,10,0,"6.65 d",7/2+,+2.239(7),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,177,Lu,40,,,,,+3.39(3),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,177,Lu,50,,,,,+3.39(2),[175Lu],AB,"Atomic Beam Magnetic Resonance - Thermal Beam",1962PE07,10.1103/PhysRev.126.252,,,,,,,,
71,177,Lu,60,121,"117 ps",9/2+,+2.2(8),,,IPAC,"Integral Perturbed Angular Correlation",1973IL02,,,,,,,,,
71,177,Lu,70,150,"130 ns",9/2-,+5.5(3),,,TDPAC,"Time Dependent Perturbed Angular Correlation",1977NE11,10.1007/BF01021555,,,,,,,,
71,177,Lu,80,970,"160 d",23/2-,+2.308(11),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,177,Lu,100,,,,2.93(7),,[177Lu],NO/S,"Static Nuclear Orientation with gamma detection",1974KR12,10.1103/PhysRevC.10.825,1975SC16,10.1007/BF01408148,,,,,,
71,177,Lu,110,,,,,+5.71(5),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,177,Lu,130,,,,,4.2(7),[175Lu],NO/S,"Static Nuclear Orientation with gamma detection",1983OE01,10.1007/BF01415228,,,,,,,,
71,178,Lu,10,0,"28.4 m",1+,-1.377(9),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,178,Lu,20,,,,,+0.708(10),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,178,Lu,30,124,"23.1 m",9-,+4.834(9),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,178,Lu,40,,,,,+5.39(5),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,179,Lu,10,0,"4.59 h",7/2+,+2.375(12),,[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
71,179,Lu,20,,,,,+3.32(3),[175Lu],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1998GE13,10.1007/s100500050172,,,,,,,,
72,162,Hf,10,&gt;yrast,_,_,"g(avge) = +0.21(4)",,,TF,"Transient Field integral perturbed angular correlation",1998WE02,10.1103/PhysRevC.57.621,,,,,,,,
72,163,Hf,10,&gt;yrast,_,_,"g(avge) = +0.18(6)",,,TF,"Transient Field integral perturbed angular correlation",1998WE02,10.1103/PhysRevC.57.621,,,,,,,,
72,164,Hf,10,&gt;yrast,_,_,"g(avge) = +0.23(3)",,,TF,"Transient Field integral perturbed angular correlation",1998WE02,10.1103/PhysRevC.57.621,,,,,,,,
72,165,Hf,10,&gt;yrast,_,_,"g(avge) = +0.14(3)",,,TF,"Transient Field integral perturbed angular correlation",1996WE01,10.1103/PhysRevC.53.151,,,,,,,,
72,166,Hf,10,&gt;yrast,_,_,"g(avge) = +0.19(4) ",,,TF,"Transient Field integral perturbed angular correlation",1996WE01,10.1103/PhysRevC.53.151,,,,,,,,
72,168,Hf,10,124,"0.89 ns",2+,0.34(6),,,IPAC,"Integral Perturbed Angular Correlation",2012WO03,10.1103/PhysRevC.85.037304,,,,,,,,
72,168,Hf,20,&gt;1213.,"~ 1 ps",&gt;6+,"g(avge) = +0.07(4)",,,IMPAC,"Perturbed Angular Correlation after Ion Implantation",1975SK01,10.1016/0375-9474(75)90346-2,,,,,,,,
72,170,Hf,10,101,"1.2 ns",2+,0.56(10),,,IPAC,"Integral Perturbed Angular Correlation",2007WO08,10.1103/PhysRevC.76.047308,,,,,,,,
72,171,Hf,10,0,"12.1 h",7/2+,-0.674(12),,,CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2000YE02,10.1088/0954-3899/26/6/307,,,,,,,,
72,171,Hf,20,,,,,+3.46(3),,CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",2000YE02,10.1088/0954-3899/26/6/307,,,,,,,,
